Key,Source,File,Field,ScreenName,ScreenWidth,ScreenHeight,OldTextureResolution,NewTextureResolution
SurvivalKit/SurvivalKitLargeReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_ApexSurvivalPack.sbc,ScreenArea,CockpitScreen_01,"5","3",512,854
SurvivalKit/SurvivalKitSmallReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_ApexSurvivalPack.sbc,ScreenArea,CockpitScreen_01,"5","3",512,854
MyProgrammableBlock/SmallProgrammableBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_01,"1","1",256,512
MyProgrammableBlock/SmallProgrammableBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_02,"11","4",128,1408
MyProgrammableBlock/LargeProgrammableBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_02,"16","10",512,820
MyProgrammableBlock/LargeProgrammableBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_01,"5","2",256,1280
TurretControlBlock/LargeTurretControlBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_01,"7","5",512,717
TurretControlBlock/LargeTurretControlBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_02,"7","11",256,805
TurretControlBlock/LargeTurretControlBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_03,"5","8",256,820
TurretControlBlock/LargeTurretControlBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_04,"5","8",256,820
TurretControlBlock/SmallTurretControlBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Automation.sbc,ScreenArea,CockpitScreen_01,"5","4",256,640
Cockpit/LargeBlockModularBridgeCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_ContactPack.sbc,ScreenArea,CockpitScreen_01,"5","3",256,854
Cockpit/LargeBlockModularBridgeCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_ContactPack.sbc,ScreenArea,CockpitScreen_02,"5","3",256,854
ButtonPanel/LargeBlockModularBridgeButtonPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_ContactPack.sbc,ScreenArea,CockpitScreen_01,"10","6",256,854
Cockpit/LargeBlockCaptainDesk,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_ContactPack.sbc,ScreenArea,CockpitScreen_01,"13","9",512,740
Jukebox/SmallBlockJukeboxReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_ContactPack.sbc,ScreenArea,CockpitScreen_01,"3","2",256,768
Cockpit/LargeBlockCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"5","3",512,854
Cockpit/LargeBlockCockpitSeat,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"13","9",256,740
Cockpit/LargeBlockCockpitSeat,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_02,"4","3",256,683
Cockpit/LargeBlockCockpitSeat,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_03,"4","3",256,683
Cockpit/LargeBlockCockpitSeat,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_04,"7","4",256,896
Cockpit/LargeBlockCockpitSeat,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_05,"9","7",256,659
Cockpit/LargeBlockCockpitSeat,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_06,"9","7",256,659
Cockpit/SmallBlockCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"1","1",256,512
Cockpit/SmallBlockCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_02,"4","3",256,683
Cockpit/SmallBlockCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_03,"4","3",256,683
Cockpit/SmallBlockCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_04,"11","6",256,939
Cockpit/DBSmallBlockFighterCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"5","3",256,854
Cockpit/DBSmallBlockFighterCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_02,"3","2",128,768
Cockpit/DBSmallBlockFighterCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_03,"3","2",128,768
Cockpit/DBSmallBlockFighterCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_04,"7","3",128,1195
Cockpit/DBSmallBlockFighterCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_05,"4","5",256,640
Cockpit/DBSmallBlockFighterCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_06,"4","5",128,640
